Artista,Artista Album,Titolo,Posizione,Durata,Album,Anno,Paese,Etichetta,Catalogo,Formato,Genere,Stile,Cartella,URL Discogs,Cover,Written By,Crediti Traccia,Note
The Rolling Stones,The Rolling Stones,Come On,A6,1:45,The Rolling Stones,1981,Italy,Curcio,GSR - 1,Vinyl / LP | Compilation | Stereo,Rock,Classic Rock,Comp. Est,https://www.discogs.com/release/2271145-The-Rolling-Stones-The-Rolling-Stones,https://i.discogs.com/BuKfYCjbSgcLEf40yv3ZA8O0Rq0ZsBD2FZiDn6gvres/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTIyNzEx/NDUtMTMwNTEzNTk0/MS5qcGVn.jpeg,Chuck Berry,Chuck Berry [Written-By],
The Rolling Stones,The Rolling Stones,We Love You,B1,4:23,The Rolling Stones,1981,Italy,Curcio,GSR - 1,Vinyl / LP | Compilation | Stereo,Rock,Classic Rock,Comp. Est,https://www.discogs.com/release/2271145-The-Rolling-Stones-The-Rolling-Stones,https://i.discogs.com/BuKfYCjbSgcLEf40yv3ZA8O0Rq0ZsBD2FZiDn6gvres/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTIyNzEx/NDUtMTMwNTEzNTk0/MS5qcGVn.jpeg,Jagger-Richards,Jagger-Richards [Written-By],
The Rolling Stones,The Rolling Stones,Route 66,B2,2:20,The Rolling Stones,1981,Italy,Curcio,GSR - 1,Vinyl / LP | Compilation | Stereo,Rock,Classic Rock,Comp. Est,https://www.discogs.com/release/2271145-The-Rolling-Stones-The-Rolling-Stones,https://i.discogs.com/BuKfYCjbSgcLEf40yv3ZA8O0Rq0ZsBD2FZiDn6gvres/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTIyNzEx/NDUtMTMwNTEzNTk0/MS5qcGVn.jpeg,Bobby Troup,Bobby Troup [Written-By],
The Rolling Stones,The Rolling Stones,19th Nervous Breakdown,B3,3:25,The Rolling Stones,1981,Italy,Curcio,GSR - 1,Vinyl / LP | Compilation | Stereo,Rock,Classic Rock,Comp. Est,https://www.discogs.com/release/2271145-The-Rolling-Stones-The-Rolling-Stones,https://i.discogs.com/BuKfYCjbSgcLEf40yv3ZA8O0Rq0ZsBD2FZiDn6gvres/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTIyNzEx/NDUtMTMwNTEzNTk0/MS5qcGVn.jpeg,Jagger-Richards,Jagger-Richards [Written-By],
The Rolling Stones,The Rolling Stones,Little Red Rooster,B4,3:00,The Rolling Stones,1981,Italy,Curcio,GSR - 1,Vinyl / LP | Compilation | Stereo,Rock,Classic Rock,Comp. Est,https://www.discogs.com/release/2271145-The-Rolling-Stones-The-Rolling-Stones,https://i.discogs.com/BuKfYCjbSgcLEf40yv3ZA8O0Rq0ZsBD2FZiDn6gvres/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTIyNzEx/NDUtMTMwNTEzNTk0/MS5qcGVn.jpeg,Willie Dixon,Willie Dixon [Written-By],
The Rolling Stones,The Rolling Stones,I Just Wanna Make Love To You,B5,2:15,The Rolling Stones,1981,Italy,Curcio,GSR - 1,Vinyl / LP | Compilation | Stereo,Rock,Classic Rock,Comp. Est,https://www.discogs.com/release/2271145-The-Rolling-Stones-The-Rolling-Stones,https://i.discogs.com/BuKfYCjbSgcLEf40yv3ZA8O0Rq0ZsBD2FZiDn6gvres/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTIyNzEx/NDUtMTMwNTEzNTk0/MS5qcGVn.jpeg,Willie Dixon,Willie Dixon [Written-By],
The Rolling Stones,The Rolling Stones,Not Fade Away,B6,1:55,The Rolling Stones,1981,Italy,Curcio,GSR - 1,Vinyl / LP | Compilation | Stereo,Rock,Classic Rock,Comp. Est,https://www.discogs.com/release/2271145-The-Rolling-Stones-The-Rolling-Stones,https://i.discogs.com/BuKfYCjbSgcLEf40yv3ZA8O0Rq0ZsBD2FZiDn6gvres/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTIyNzEx/NDUtMTMwNTEzNTk0/MS5qcGVn.jpeg,Charles Hardin | Norman Petty,Charles Hardin [Written-By] | Norman Petty [Written-By],
"Jerry Butler, Betty Everett, The Cleftones","Jerry Butler, Betty Everett, The Cleftones",He Will Break Your Heart,A1,2:46,Jerry Butler / Betty Everett / The Cleftones,1982,Italy,Curcio,GSR - 73,Vinyl / LP | Compilation | Stereo,"Rock, Pop","Rock & Roll, Soft Rock, Pop Rock",Comp. Est,https://www.discogs.com/release/5288619-Jerry-Butler-Betty-Everett-The-Cleftones-Jerry-Butler-Betty-Everett-The-Cleftones,https://i.discogs.com/VeLrL4sIC4zF2h0I_bNxXDPzKxFHbQswJPDddNFrllM/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTUyODg2/MTktMTY5NTc1MjY5/NS00MzQ0LmpwZWc.jpeg,Calvin Carter | Curtis Mayfield | Jerry Butler,Calvin Carter [Written-By] | Curtis Mayfield [Written-By] | Jerry Butler [Written-By],
"Jerry Butler, Betty Everett, The Cleftones","Jerry Butler, Betty Everett, The Cleftones",Find Another Girl,A2,2:42,Jerry Butler / Betty Everett / The Cleftones,1982,Italy,Curcio,GSR - 73,Vinyl / LP | Compilation | Stereo,"Rock, Pop","Rock & Roll, Soft Rock, Pop Rock",Comp. Est,https://www.discogs.com/release/5288619-Jerry-Butler-Betty-Everett-The-Cleftones-Jerry-Butler-Betty-Everett-The-Cleftones,https://i.discogs.com/VeLrL4sIC4zF2h0I_bNxXDPzKxFHbQswJPDddNFrllM/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTUyODg2/MTktMTY5NTc1MjY5/NS00MzQ0LmpwZWc.jpeg,Curtis Mayfield | Jerry Butler,Curtis Mayfield [Written-By] | Jerry Butler [Written-By],
"Jerry Butler, Betty Everett, The Cleftones","Jerry Butler, Betty Everett, The Cleftones",Aware Of Love,A3,2:10,Jerry Butler / Betty Everett / The Cleftones,1982,Italy,Curcio,GSR - 73,Vinyl / LP | Compilation | Stereo,"Rock, Pop","Rock & Roll, Soft Rock, Pop Rock",Comp. Est,https://www.discogs.com/release/5288619-Jerry-Butler-Betty-Everett-The-Cleftones-Jerry-Butler-Betty-Everett-The-Cleftones,https://i.discogs.com/VeLrL4sIC4zF2h0I_bNxXDPzKxFHbQswJPDddNFrllM/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTUyODg2/MTktMTY5NTc1MjY5/NS00MzQ0LmpwZWc.jpeg,Curtis Mayfield | Jerry Butler,Curtis Mayfield [Written-By] | Jerry Butler [Written-By],
